"FlowKey","LocalAddress","LocalPort","RemoteAddress","RemotePort","State","ProcessName","CreationTime","CurrentTime"
"TCP@192.168.111.32:3389-192.168.8.3:59937","192.168.111.32","3389","192.168.8.3","59937","Established",,"10/16/2021 4:53:52 PM","10/16/2021 5:50:18 PM"
"TCP@192.168.111.32:50022-172.217.23.237:443","192.168.111.32","50022","172.217.23.237","443","CloseWait","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/16/2021 5:35:55 PM","10/16/2021 5:45:25 PM"
"TCP@192.168.111.32:50025-172.217.23.234:443","192.168.111.32","50025","172.217.23.234","443","CloseWait","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/16/2021 5:35:55 PM","10/16/2021 5:45:35 PM"
"TCP@192.168.111.32:50072-20.199.120.182:443","192.168.111.32","50072","20.199.120.182","443","Established",,"10/14/2021 10:36:43 PM","10/16/2021 5:46:38 PM"
"TCP@192.168.111.32:50238-65.9.98.95:443","192.168.111.32","50238","65.9.98.95","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:46:31 PM","10/16/2021 5:48:12 PM"
"TCP@192.168.111.32:50463-13.69.106.217:443","192.168.111.32","50463","13.69.106.217","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 3:25:30 AM","10/16/2021 5:47:41 PM"
"TCP@192.168.111.32:50517-23.47.212.11:443","192.168.111.32","50517","23.47.212.11","443","CloseWait","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe\Video.UI.exe","10/16/2021 12:45:42 PM","10/16/2021 5:49:36 PM"
"TCP@192.168.111.32:53501-172.217.23.202:443","192.168.111.32","53501","172.217.23.202","443","Established","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/15/2021 11:49:32 PM","10/16/2021 5:46:38 PM"
"TCP@192.168.111.32:55218-204.79.197.219:443","192.168.111.32","55218","204.79.197.219","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:48:57 PM","10/16/2021 5:49:05 PM"
"TCP@192.168.111.32:55251-172.217.23.234:443","192.168.111.32","55251","172.217.23.234","443","Established","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/16/2021 5:49:13 PM","10/16/2021 5:49:36 PM"
"TCP@192.168.111.32:55324-13.107.5.88:443","192.168.111.32","55324","13.107.5.88","443","Established","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.21084.78.0_x64__8wekyb3d8bbwe\YourPhone.exe","10/16/2021 5:49:48 PM","10/16/2021 5:50:08 PM"
"TCP@192.168.111.32:56607-20.199.120.151:443","192.168.111.32","56607","20.199.120.151","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/15/2021 10:45:52 AM","10/16/2021 5:50:08 PM"
"TCP@192.168.111.32:57019-52.166.127.37:9354","192.168.111.32","57019","52.166.127.37","9354","Established","C:\Program Files\Microsoft Visual Studio\2022\Preview\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe","10/15/2021 10:30:29 PM","10/16/2021 5:49:05 PM"
"TCP@192.168.111.32:57412-172.217.23.194:443","192.168.111.32","57412","172.217.23.194","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:48:13 PM","10/16/2021 5:49:26 PM"
"TCP@192.168.111.32:57894-13.69.106.215:443","192.168.111.32","57894","13.69.106.215","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 5:24:13 PM","10/16/2021 5:48:33 PM"
"TCP@192.168.111.32:58329-192.168.111.20:22","192.168.111.32","58329","192.168.111.20","22","Established","C:\Windows\System32\OpenSSH\ssh.exe","10/16/2021 4:57:42 PM","10/16/2021 5:49:36 PM"
"TCP@192.168.111.32:59408-65.9.98.231:443","192.168.111.32","59408","65.9.98.231","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:41:30 PM","10/16/2021 5:45:25 PM"
"TCP@192.168.111.32:59689-20.50.80.209:443","192.168.111.32","59689","20.50.80.209","443","Established","C:\Users\Rysavy\AppData\Local\Microsoft\OneDrive\OneDrive.exe","10/16/2021 5:43:50 PM","10/16/2021 5:45:25 PM"
"TCP@192.168.111.32:59926-192.168.111.20:22","192.168.111.32","59926","192.168.111.20","22","Established",,"10/16/2021 5:45:44 PM","10/16/2021 5:49:47 PM"
"TCP@192.168.111.32:59927-20.189.173.5:443","192.168.111.32","59927","20.189.173.5","443","FinWait1",,"10/16/2021 5:45:44 PM","10/16/2021 5:45:46 PM"
"TCP@192.168.111.32:59960-140.82.121.5:443","192.168.111.32","59960","140.82.121.5","443","Established","C:\Users\Rysavy\AppData\Local\GitHubDesktop\app-2.9.3\GitHubDesktop.exe","10/16/2021 5:46:01 PM","10/16/2021 5:46:59 PM"
"TCP@192.168.111.32:60770-20.199.120.151:443","192.168.111.32","60770","20.199.120.151","443","Established","C:\Users\Rysavy\AppData\Local\Microsoft\OneDrive\OneDrive.exe","10/16/2021 2:43:49 PM","10/16/2021 5:46:27 PM"
